i,true_cluster_id,we_Jr,we_Jz,we_Jphi,we_energy,we_parallax,parallax_error
0,0,502.04274863357205,280.13099056998516,-484.8248561765487,-164256.8643720336,0.30263967684088033,0.015452151275320833
1,1,102.55463915738947,724.5689214535,775.0460081764272,-158954.8324751568,0.2388489641362197,0.0206603211985268
2,1,346.0325061490664,519.5368662704926,876.8519048886374,-152633.08482689646,0.24598833543339707,0.016604514462702943
3,2,514.7813776167471,508.47894885898575,-258.54930723982733,-163001.8441746424,0.2823469916823679,0.015028269630342926
4,2,581.5433767685117,422.9977274815129,-250.8673015501239,-162466.8507175577,0.28208063658986,0.0165351819434556
5,2,454.0262973633692,526.4455951550237,-339.116583482528,-162891.4572756938,0.2723666870778485,0.017226685569808685
6,3,285.61528451979865,467.3220038467209,-1012.549858541389,-152952.61828071962,0.21782283903221333,0.015008042934757358
7,3,923.7433926352747,476.77050786053235,-807.6975491336898,-136745.9503576838,0.182844995991977,0.022751076234987493
8,3,267.1723173512316,729.4800340833772,-917.8849547629602,-149044.6089964553,0.19213464320662274,0.027770352902705814
9,3,194.51396820746768,435.818314127455,-1133.2009760111475,-154218.22241394754,0.39814331743234976,0.018
10,4,541.5862714352834,244.40158743414122,438.4035444686038,-164841.5142790201,0.21746554198493434,0.023269771531145268
11,4,481.0014713349276,285.25624439519675,564.3495563602075,-162722.90204735455,0.2050261451250116,0.017042068777081625
12,4,509.59971274155953,250.63831246880778,529.9304340415026,-163592.761220569,0.25079694567767985,0.016130453394983382
13,4,707.2480737336773,335.45984456083613,679.3867024413986,-149047.26005971583,0.21455081715753105,0.02478765626813859
14,4,475.36840359640667,216.13307349666178,648.8828798325745,-162885.17671535662,0.3908062089560182,0.018
15,5,734.9522413883606,81.20740614136538,-552.2197462099693,-159105.64145921596,0.4654206422946875,0.018
16,5,729.087041256768,81.13093494549278,-554.590073889491,-159338.32436573424,0.490056651304388,0.018
17,5,672.9646073579759,55.41252869703561,-618.7381987518108,-161209.6909279693,0.30990616481932565,0.019269277562416833
18,5,684.3531516841517,114.14167081472849,-533.5219521691238,-160511.65107847351,0.27506817171072656,0.018563106434387057
19,5,748.6798317408014,29.248940403351536,-555.2348525724765,-160821.32567397584,0.6771132473502535,0.01714457578628475
20,5,777.3108118024652,105.45859171868494,-480.74601601210696,-158183.6145615978,0.19475030076194072,0.03148379269552589
21,6,499.529388627445,205.21463795766815,-460.67785204221445,-167950.88255309916,0.3498214608302394,0.01675989136706718
22,6,453.63687749755184,229.6692052770832,-472.62264997178283,-168514.8929152679,0.2137124055857463,0.015960005703029332
23,6,460.2496284603431,353.7253172554267,-429.29911664499,-165414.67085707549,0.18754331010378159,0.0237216922471236
24,6,520.3586048310452,216.31483733122963,-411.75409967985155,-167919.87440382777,0.27215312346316684,0.018
25,6,492.68796925023713,281.87077886103793,-450.11408971091873,-165518.5484793419,0.27018483539449406,0.01586600608611343
26,6,523.4300001683405,203.86779752033226,-390.26084837982535,-168755.4604957734,0.7841306002424886,0.018
27,6,471.69748215516296,199.00138394802516,-510.09685566023717,-168059.80375066464,0.37315721357150666,0.018754145116641
28,7,609.1825635000594,21.439010704508608,-2143.410420885176,-131394.4923398358,0.601141437238811,0.018
29,7,454.81496661902224,52.69377067235947,-2014.3370723151284,-136842.97652936334,0.21757561877304896,0.015476601537895249
30,7,500.53535364477654,60.469983095264645,-2211.1719701542474,-131933.81199475168,0.4000494289938521,0.018
31,7,502.0106352666325,16.901114724171407,-2281.4839355421886,-131781.53288272602,0.40738245358761205,0.01506940423814194
32,7,459.3739270267876,26.472559665878503,-2259.9968093066773,-132895.6505725971,0.4248659522449173,0.018
33,7,511.16221466012263,23.931575154051245,-2255.5684440030523,-131777.54508567858,0.5801939923253384,0.018
34,7,549.6209138428434,37.15807425734967,-2181.185970193768,-131811.15448736784,0.8671549923941254,0.018
35,7,521.4645467669009,50.54508011151757,-2241.9207291789903,-131180.33847925806,0.2513789676405058,0.017491726058682787
36,8,1063.6866854612622,138.254140831024,-136.4391339713576,-153180.65378448585,0.28305316581703727,0.015230615761556791
37,8,982.549438141854,184.9497608673992,-45.7654627101851,-157064.2714584306,0.19648963633122837,0.018651484416304705
38,8,822.7804200705343,207.94964736445854,-124.31783596686705,-161370.31470749044,0.40101441092559365,0.018449746477913677
39,8,818.9389570352604,177.83107447601998,-137.70505798526546,-162084.6908348023,0.2419477607040857,0.01872807925342917
40,8,961.0813794958301,324.10871598922114,10.962789635306024,-154338.71043735833,0.21116520856352608,0.01590298054101496
41,8,831.4473461394898,190.8958044816196,-162.19984650868867,-160521.60231636942,0.30969111342770705,0.016815614113001653
42,8,843.996504677808,117.44212849033553,-203.97442382605237,-161825.7615514362,0.2432375551603865,0.019722200894184198
43,8,1087.003569716009,197.65869153938,53.50689841227917,-152177.7808929512,0.29735724771844646,0.018
44,8,1019.452118968481,209.16777756262695,23.59588029632382,-155035.36301705692,0.23974895401625684,0.017580277640001776
45,9,335.5756192281879,1718.9946778469928,-372.4326871872612,-137309.61511404184,0.23784443423573548,0.017358997722972582
46,9,125.1318621239964,1457.2684806905643,-479.3887392215779,-146525.60476955475,0.35042864024683473,0.018
47,9,227.02608651463163,1472.728948217442,-460.78460649686326,-143397.46604242042,0.25949396174682365,0.018
48,9,141.5314501843194,1440.1692279600088,-476.09506885284037,-146442.92412971,0.26012905876473513,0.017426850145355107
49,9,177.04533306107135,1596.2059813893009,-413.7832564798516,-143265.0395771591,0.19569226943482357,0.015414108634735888
50,9,122.56911805928635,1442.7280850179354,-455.9815429092762,-147455.5461237744,0.24703239086415024,0.016687197093775922
51,9,179.26205282120972,1768.8172204932403,-255.56590962950452,-142830.30109028,0.2175223587693305,0.015562597039257818
52,9,186.78351955584253,1329.0076997023393,-456.92116388240333,-147952.9029319811,0.2511118766552548,0.026849810352074927
53,9,164.7214176132734,1322.1594563735423,-482.7793584424057,-148306.94095028436,0.23242390389065792,0.018
54,9,137.52633873629867,1440.7385742649953,-441.1301695662204,-147344.23311797387,0.23811394637158834,0.018
55,10,490.0455870625662,785.4999387935081,376.81129707892615,-152442.22812577974,0.24169291162085602,0.018
56,11,527.7630553877683,41.10082851603464,-711.38806166207,-166186.83522033077,0.3489817377216271,0.015918616721850666
57,11,658.8195066410644,58.63387308563516,-349.6922313619615,-169779.59360684198,0.2213600679076696,0.016700632147696442
58,12,389.94090062205095,224.70289165554763,-809.9702393748264,-161770.5152069558,0.26244403452515397,0.01613668115663253
59,12,310.6208667982119,182.11118805635806,-950.384796589376,-162892.7302097274,0.28860410727857694,0.018
60,12,377.15874976299165,212.21200377114823,-863.1310926538117,-161271.04174991997,0.2228446477762561,0.018
61,13,908.011689257285,143.6259826768765,-157.96136971271937,-158907.17305945486,0.18383478562753933,0.018
62,13,791.2870221296729,188.1166607356169,-230.92976326308462,-160726.0576695151,0.25342766122555116,0.017483229913377966
63,13,686.8459847425706,141.10790611872073,-474.0718673299613,-160941.17629675037,0.2232663666933075,0.018
64,13,721.9506850761175,126.21635151909868,-415.79339731762224,-161425.09909090368,0.6414258249062564,0.018
65,14,496.55703833259315,121.94852080977643,410.50907702922643,-173280.3253460597,0.3004025000031571,0.017785015702617746
66,14,678.078488322546,45.05272630243478,203.67259991480597,-174258.64315001626,0.5469166183665666,0.015878599582889234
67,14,476.82846869410076,134.32866411814314,460.05385325137956,-172241.0193971395,0.21033491129848444,0.018
68,14,608.4417636179946,41.240933786377006,364.1204198888327,-173223.624514627,0.3209040193469991,0.018710234364707423
69,14,586.3891086527716,51.59167930700332,400.771491825025,-172545.29776313837,0.36994099982103024,0.018
70,15,355.9620997690403,37.756650754154165,-659.0757469701679,-177389.19430934024,1.0526440307039822,0.018
71,15,362.3104095426375,27.801591297525576,-677.2935617125468,-177381.87404460716,0.3598453544041474,0.017374275370571818
72,15,333.11476350172705,24.507852947029264,-739.2677656443118,-176997.81705804172,0.3965111264142963,0.01932958175080172
73,15,382.13174277990055,37.75819554651659,-624.9026834009455,-177424.06672976993,0.8767944922191343,0.018
74,15,387.49223096109864,43.29741201310217,-613.2325929059398,-177200.12735039397,0.2903524900853252,0.016937783005236105
75,15,336.1849728286397,27.81010894767958,-736.8652196803766,-176670.80626795744,0.76375807827633,0.018
76,16,755.8051404981975,123.14316636276189,56.74691819733573,-169657.8349353754,0.21382912967942969,0.01634268844310164
77,16,595.4811460228169,227.3043639912739,233.38070599715857,-168761.3050181131,0.2626156036240624,0.018
78,16,798.2384353814195,88.55961545904732,70.29798177159526,-168860.00729423098,0.47163060052155875,0.018
79,16,726.6917900879465,171.78639979640346,107.20377297446109,-168062.9037907506,0.425442742722052,0.018
80,16,679.2679797868393,179.71432162117733,-74.08231039133324,-170673.297558897,0.24864057628884065,0.016634919773297677
81,16,674.6126703710812,175.93878012775045,105.77307477129895,-170269.0543470788,0.22104510509690123,0.01507426948086302
82,16,721.9214245011216,181.45503098580474,35.37727656250196,-169610.3868489608,0.28612013882662357,0.018
83,17,803.7791185929989,25.334876707085595,338.05241635676987,-164628.3891465015,0.45597148449044494,0.01658827806426386
84,17,791.0152395263536,116.21783189541625,95.84696567997287,-167033.7176809693,0.26596084254324026,0.016263731940400903
85,17,787.2204606746416,65.70320513698915,264.7713185287309,-165236.61283286253,0.46732328251624095,0.018
86,17,781.0606030128805,51.49775300779825,302.2777784221146,-165258.61158760783,0.7474203025701434,0.018
87,17,835.1401203462786,41.40108542675963,366.2975506884798,-161432.92619117993,0.38624766391249366,0.018
88,17,788.1009033365829,42.36598837319181,338.60767275861843,-164400.7476817588,0.3183218338338477,0.01583564846964665
89,17,799.5173067059551,34.85302348194578,324.99591670556293,-164654.55940377325,0.24990197189447538,0.024574796742849
90,17,723.13119472113,39.260071831592384,490.80243573236055,-163327.67537099012,0.3995435603758547,0.018
91,18,233.68201635899408,1029.2241177104454,973.5822971409737,-142041.6719648718,0.19252829170944544,0.02010081502016594
92,18,144.45432043319846,1001.7616612052676,848.1937455747816,-148149.9401504968,0.23002395638437967,0.018
93,18,115.21464238353614,978.6358790272901,831.7835073847774,-150145.38441444462,0.45058100300343995,0.016123105838174872
94,18,157.91247872128113,1192.3758420251959,858.0410657807557,-143266.1142632229,0.21361473694416197,0.016664883232289835
95,18,69.5728617106199,1295.8031027191987,1018.5583433544232,-140401.8089516127,0.3656252516818093,0.018
96,18,404.22213458311063,922.6396075838143,1208.3615553943719,-135051.2398631133,0.17591381658669664,0.017899927324392967
97,18,147.03784357605096,957.5737484686714,866.1909611639181,-148702.4248479925,0.30405277052084556,0.018
98,18,89.49603994236497,956.0654220500169,798.223119516202,-152393.40065232568,0.3086021941160165,0.018787187501169214
99,18,201.54495168296714,921.0871391278711,881.1056577718068,-147415.3124163027,0.18802844712398345,0.018
100,19,81.58564707556339,74.94067086324121,2091.9786787543067,-145541.14719322545,0.37834714092891325,0.015726535001133225
101,19,73.0229166355261,61.66983125082004,2057.272447857873,-147037.8468308238,0.5794032294738286,0.018
102,19,71.51516463510593,56.99042417418514,2263.51723762853,-142619.41988567394,0.19955726608059446,0.021099237272376156
103,19,92.57799447529972,81.21935248960594,2091.815917527328,-145012.28536318179,0.25693749586385023,0.02425621996719552
104,19,81.8987639969334,47.63601538298005,2105.5775037439716,-146084.2745700682,0.8734755835160769,0.018
105,19,76.16109463407525,46.79315936467626,2105.0677037621695,-146317.5110477519,0.4896952134143518,0.018
106,19,122.88174349403363,54.85634141115436,1872.1963064563663,-150012.88322730543,0.5938179809520883,0.018
107,19,99.7342112118216,55.989396566283304,1933.1811670284892,-149284.25099779395,0.2562422523203987,0.016022676305642258
108,19,108.44479163192007,50.20381448823053,1946.8333331139995,-148861.85296775936,0.3153852108471029,0.018
109,19,110.28419543872653,43.8482160454791,1928.2371026013136,-149483.4585547751,0.2680418699341244,0.024519569320691957
110,20,736.3965994700774,948.6460777447664,-296.3450906819605,-141825.93361894903,0.24220863084816624,0.015219704349410737
111,21,60.295500253815,376.25994797120643,-1699.574758631516,-146965.21899933854,0.24751600643093416,0.02088032745804094
112,21,52.97375140033265,454.0339363643937,-1610.1554458352293,-147248.29632500774,0.26607009288325545,0.017863261117482408
113,22,135.64386156851586,784.6640416556505,1066.1126939205515,-148771.9271691101,0.2029801019967965,0.016045529386369255
114,22,373.8753371620784,939.7087041224912,1155.5763887623025,-136511.06426352,0.21188957427089075,0.022288325884776142
115,22,181.88742893169317,798.5395969806895,1087.3224532463391,-146350.18355420022,0.5307918129830723,0.018
116,23,489.9299522893401,681.068090178813,1800.7480360557845,-127538.72056866501,0.1679281423226495,0.027203814469186783
117,23,109.33016132119502,461.5687606264281,1334.2089708363374,-151671.4824145095,0.24594774270664982,0.01695522359767179
118,23,113.09461419596536,459.278148181036,1300.910302215948,-152355.28320401098,0.5416203325377725,0.015384223494045477
119,23,100.58620835059062,465.2829628574967,1293.7883923054528,-152838.17238125397,0.2994786127154031,0.01769477851253332
120,24,149.97207971055704,129.6560682410605,1924.6439120915024,-145518.3163670247,0.24771454651964211,0.020812705435673807
121,24,344.95208316486026,136.72211931638924,2200.7688647244618,-134316.16127977072,0.20205954499587825,0.015605594102526453
122,24,172.8782670127423,130.6228923577037,2048.501691332132,-142106.69883762003,0.3199458415148372,0.022676738078721285
123,24,146.030660747088,128.7877294622736,2255.983235917072,-138735.15048994517,0.32437507590461256,0.015247920030814176
124,24,224.11457537117036,129.30669581314305,2412.9192913629586,-133761.68790933533,0.43055572695861444,0.018
125,25,671.9165120786254,43.923947021289955,-562.3869752398516,-163448.05337433144,0.38133705313268257,0.01675092177317731
126,25,624.8473777829504,25.94298521012889,-672.758657702198,-163479.2091425763,0.32300323140920095,0.018
127,25,732.6703822348977,28.474080733734663,-475.3406293488118,-163860.7025665054,1.1133231853041674,0.018
128,25,770.5247350423175,29.77038401537284,-427.0461910898543,-163475.6733324172,0.417677238502552,0.016462416146279187
129,25,653.4653654697663,34.102585017168366,-583.4189864249292,-164309.20932426694,0.32069884967029866,0.018
130,25,670.4108221772581,24.023234776045747,-540.1007990283099,-165351.4892763798,0.37039117524651255,0.015899046175256087
131,26,545.51083737233,266.8470333568879,754.3389207424934,-155253.1212434495,0.328576660579654,0.017971772353787524
132,26,566.1583919718375,228.46395822642302,578.026611910572,-160221.44525409915,0.3444636196943435,0.018
133,26,521.1797683301963,262.0089567901233,653.2289096980064,-159093.17710346545,0.26577548644385385,0.017833760968532515
134,26,583.4518032801099,244.96712760996544,632.9209149589869,-157567.47678192568,0.2611111619589628,0.015602329653983907
135,26,450.9561736822235,189.35765827929674,609.0772021957739,-166254.43421269878,0.21456516696521333,0.018270336097695378
136,26,586.4513252246139,370.0435172918804,904.0468172890612,-147504.88443118875,0.1749751454059841,0.018093580965235837
137,26,521.0619351427193,289.5380865079309,845.7291581936759,-153339.95733846628,0.19243265024178885,0.01864384007083914
138,27,573.5282956632739,40.40214482872208,-1044.664308498718,-154715.8540321934,0.2567337255972567,0.016786858954548504
139,27,520.8288240856247,36.46855144096861,-1085.7504256832062,-155927.14567854293,0.25345981814925717,0.01556018809486067
140,27,580.8342050637548,38.64501326558549,-1010.9200908324108,-155361.93532534115,0.6120349461181553,0.01607643707323695
141,27,614.704178466608,37.847343495272725,-1012.2974293390675,-153969.48228838708,0.6209039071352699,0.018
142,27,562.748297695881,33.566587590824334,-1024.0505152156552,-155967.46106515138,0.5193685980855495,0.018
143,27,590.738182160447,37.92739726761664,-1041.1726331719017,-154185.2753136611,0.7970972988425455,0.017891425049870527
144,27,571.1495269401303,40.51623815660421,-1002.724719871012,-155864.68945022268,0.22360921076421367,0.02284461725640834
145,27,583.2869451290663,41.744307325766556,-1102.9467422222046,-152818.94526380836,0.21042439785947462,0.018644396596899766
146,28,75.79365981194913,356.0405124479792,1415.2542163729297,-153818.65305674926,0.45493621799633116,0.018
147,28,61.6649944735271,431.4865692512183,1356.2016696218698,-153675.68684696025,0.3575602890542307,0.018893843096770245
148,28,62.01204570335312,408.7807444069285,1412.4060929709397,-152869.19551931586,0.5697055330873041,0.017594575482375998
149,28,22.09717308284917,300.2265627330407,1222.665653639007,-163360.5758017795,0.26804769796644523,0.028670222211393783
150,28,167.06322714681679,520.4654046696788,1650.9590656018695,-141251.70603410422,0.19118200772174385,0.017876084455432203
151,28,53.26964603002814,429.89336534330187,1505.81541341417,-150303.56703267514,0.21364363462195826,0.025416767844571923
152,28,42.73858037062464,376.0409294499527,1634.2277905774351,-149061.56120979926,0.3303985279916053,0.018
153,28,57.74094771441542,432.89451194700695,1479.8779450636507,-150704.86369350273,0.3556088758170565,0.01601456181703381
154,28,155.92848214957385,468.54789558614664,1714.3095917948576,-141464.02077467495,0.20477363316657093,0.018
155,29,184.17191607490153,79.9348517289188,1394.9338726418705,-159455.22161826323,0.28273800466293114,0.019801874605401337
156,29,134.08351259727397,77.09149210571387,1707.4563491489218,-152992.54513663807,0.20556242611729075,0.02160080824170035
157,29,254.40492283433352,75.4586940790088,1200.7696399797483,-162327.91542326298,0.2895976694466156,0.015564626710411616
158,29,184.1528829782964,73.88629155888677,1637.2021472276895,-153064.11745302702,0.2965949199222003,0.017839480784545326
159,29,152.6803654790304,69.04440491339588,1401.5731888937319,-161078.54609601962,0.30693580168712636,0.018
