i,true_cluster_id,we_Jr,we_Jz,we_Jphi,we_energy,we_parallax,parallax_error
0,0,246.99576922207842,320.1042353245404,-871.4156175730601,-163076.38167687808,0.2494903752568035,0.017713932479454863
1,1,1866.3472703830912,69.71374809362379,1143.5110742835118,-117990.50826851028,0.32341208567736657,0.0184225082196388
2,1,1785.8225258117825,101.52711694294878,1042.1885664604306,-120286.16848922844,0.3488054719343371,0.018
3,2,896.6271985752297,397.54377200670393,158.33695538398354,-151907.84427771682,0.2590937942705854,0.023493693585263487
4,2,970.6290007538995,247.0877248400287,10.222551062285959,-156404.39334797955,0.22446672196981685,0.016207004557826643
5,2,770.5306970143984,374.57131855362616,369.40947372918833,-152439.39184967973,0.3726975194858643,0.016539617353969516
6,3,508.09094910344527,751.1258537479047,-532.5028032870148,-148587.6402973677,0.5044156755249892,0.016607888070869027
7,3,477.9848126968807,876.8337766782946,-497.43134162204285,-147766.28295308544,0.23118955087062493,0.015705034790830373
8,3,455.95937859080067,912.1646305201349,-611.3950487259777,-145068.50041408537,0.23007602394852888,0.017148360640631233
9,3,448.45697981371325,915.4562772297585,-495.06688422062433,-147804.7603428783,0.23524349541618253,0.018
10,4,334.6165062350856,26.206836418994367,-1240.8287083135729,-159910.89784812686,0.6369906001206946,0.018
11,4,335.24395935609624,41.44709118943874,-1238.2729937330553,-159196.1401776106,0.8143019260326683,0.018
12,4,440.0879667195547,28.996386382457707,-1040.1544102129315,-160982.500525648,0.27311021610805253,0.016982643016349636
13,4,426.06995621222,32.689141766280954,-1129.031691579314,-158861.58966671312,0.3043251523219874,0.018
14,4,353.8287174671581,19.15956406229392,-1216.3346247842812,-160162.09422085906,0.3244653763246053,0.01914519813320655
15,5,579.9939437154974,46.57097231599999,596.9774876189939,-166849.73369306428,0.2939024821682779,0.018
16,5,530.2750721185321,99.34931923385986,614.6976257089098,-166079.89232921184,0.332257312564933,0.017908823211273968
17,5,549.890698691019,98.47518341202411,558.4718033326773,-166840.89124909093,0.271310977063431,0.01788512922424945
18,5,692.070290505267,63.39580242934015,349.56264776847803,-167770.67376645526,0.3333805963932425,0.015085373950868076
19,5,611.7497455935692,85.66528449829856,485.89751991209164,-166588.80287243566,0.26066986916990714,0.015834007441060068
20,5,706.2647782046407,45.43735957924572,358.546926475864,-167785.3706148194,0.4275790407440642,0.01706478759063442
21,6,440.42625940955065,313.04333308529715,-1307.0953987113714,-144876.3712351429,0.2365953796384247,0.017477430759556822
22,6,277.8403627595995,237.5708818847927,-1418.104679728901,-149863.1000835332,0.3247820373218559,0.018
23,6,471.8626917466545,324.19506838944494,-1144.50702334386,-146863.45074492425,0.33553917569232283,0.018
24,6,551.2859618135705,252.3765493389515,-1398.3078560577053,-141197.48991080708,0.2044089940507349,0.016337076827869466
25,6,501.4681773945064,251.4288896876996,-1495.967292606851,-140573.95630294757,0.29710043857171325,0.018
26,6,549.3269780480648,231.22595784682343,-1278.2030221430557,-144150.70499865356,0.28282320963299024,0.018
27,6,516.6958972563644,208.40474696344384,-1246.514138284485,-146438.85723363017,0.23196104457399824,0.025983006849607734
28,7,496.18777124604435,53.7627648041514,-698.3651309164248,-167499.98961289643,0.32397459102476844,0.021467893622052356
29,7,477.94709942850045,38.38375843894524,-742.2130615262184,-167877.6026067871,0.28633161713284316,0.018
30,7,523.2716698328695,62.27757621642691,-647.2132472686864,-167251.1290753098,0.3451072539318939,0.018
31,7,489.6427769313454,65.18936591147698,-693.6474091397979,-167289.19624645304,0.4571204926053794,0.018
32,7,548.7082973879512,114.89010924538168,-580.505122966955,-165402.23886992462,0.23713263533182574,0.018032828789159686
33,7,492.68562383885745,93.65971579002974,-664.9348939131656,-166692.55265441505,0.3884617998217147,0.015365604950919725
34,7,457.5872589391183,132.57489901119084,-674.7154859129967,-166348.91521441925,0.344557157042374,0.018
35,7,487.0013852451859,77.83886369405134,-658.380684807801,-167805.93789023597,0.4267376034001672,0.01739100655601959
