i,true_cluster_id,we_Jr,we_Jz,we_Jphi,we_energy,we_parallax,parallax_error
0,0,865.8573222734334,387.07884042319887,488.00182587894597,-146282.68575328498,0.19781758096900592,0.026324219679980616
1,1,357.6066369201302,2158.665039642609,-778.6466501502555,-123209.99298030522,0.23217789422878435,0.017524377485834998
2,1,431.36229591777766,2671.5892920277734,-505.4177661144471,-118655.39953916465,0.3781910953673896,0.018894191367104164
3,2,258.28477044398096,23.45899175652913,1859.0895693890739,-146828.2345262021,0.49764263662706676,0.016608908896830473
4,2,276.83004678214,12.26259267916633,1883.2026479204476,-146110.44161872624,2.1275528055493726,0.018
5,2,303.65511755615256,15.381791000766151,1958.74134122208,-143453.51784305455,1.3422010290563824,0.018
6,3,73.98203176161947,644.2400497360434,-1356.6551428025232,-147585.99553587392,0.2811742736413265,0.02462634163487098
7,3,112.56810643654177,992.9390409633774,-1425.8492505755885,-137472.00189945576,0.18360342731030158,0.018
8,3,75.48549682845234,664.2186273881505,-1364.689953220955,-146870.42815022203,0.3650241512828007,0.018
9,3,50.27075088085917,655.2831411460817,-1458.5878485472958,-145817.07395215193,0.5786627839121953,0.018
10,4,656.3825995136046,386.6120682832756,-519.7510348057791,-152801.4910853652,0.49192541703094367,0.016079567223326045
11,4,592.9987267717033,348.85000688994705,-598.6235909205423,-154043.88733791132,1.3802713468500625,0.018
12,4,591.1628520012272,378.04271421165066,-536.337454032528,-155546.06807470752,0.24236352136984168,0.023709098663686833
13,4,576.8223638271958,320.9559614286709,-601.4596776462593,-156214.9488232228,0.23309746590919678,0.03132255354708371
14,4,557.9029908038642,358.06538197643886,-564.3103750297583,-156773.43459452997,0.28916107048996387,0.018
15,5,73.0074992832412,38.1986181347442,1804.4340768483064,-154256.8915515506,0.5523344932761095,0.018
16,5,86.59494829891845,24.3207279413047,1620.3683922973942,-159558.69336037632,1.199540835905065,0.018
17,5,96.01970188396311,34.38539827049423,1693.3079637205733,-156573.4563059734,0.40169041347400203,0.018
18,5,176.20618374927372,39.16396890490446,1737.2394161352292,-152058.95938214782,0.3862971494710459,0.018
19,5,88.80412815968896,38.01892167901682,1650.602604254808,-157917.59141844892,0.35264660908038914,0.01995227332378914
20,5,65.57021902006427,37.08513199035372,1774.0323827073382,-155422.73414175204,0.27710448732772935,0.016758854983536176
21,6,3258.1312883044475,1241.9556737696007,1980.0983492471412,-84339.85868684227,0.16508492139431322,0.028148075777194075
22,6,200.09641711786435,469.2105020606644,1367.7366053622989,-147510.5846552023,0.22202766723245682,0.022454508529902426
23,6,193.0203000215071,463.31203005063634,1414.6226344276656,-146786.78394545935,1.1689647351469905,0.018
24,6,156.7217123976335,466.44896227205203,1617.8584895040362,-143512.34802824905,0.2586840043906864,0.018
25,6,217.6048183397998,555.0198252962973,2169.04653377233,-130040.30608537249,0.18068575105825174,0.018
26,6,227.3646106371631,502.17083523001844,1480.68374402469,-143370.23173170944,0.2956220852241394,0.015072287752402314
27,6,488.03158198142546,464.61755906337095,1668.1174319401828,-133533.50154995863,0.313383325592551,0.018
28,7,211.28892241364875,139.49970296709543,1193.9479282578006,-161755.1536442549,0.26425462551892814,0.017732575874749194
29,7,133.13316288226568,100.15074299995035,1082.9309642354308,-170986.552425422,0.22129214502746614,0.015189391947523969
30,7,217.2187741587474,129.99904586295753,1141.8260039766014,-163424.03115918828,0.21646293875381845,0.01633919559363204
31,7,16.028566924867622,83.37607661499766,1051.3473950194486,-179969.15508907806,0.24095596246888928,0.02900251929547937
32,7,92.51480401472742,105.15622958289276,1110.9717000515113,-171909.5084721196,0.24477772342440418,0.015769375355359563
33,7,146.28159783195696,128.38312052913827,1132.0882772413138,-167237.46115680574,0.23253703577414514,0.018
34,7,179.34177394053714,121.43853428607258,998.3158523132015,-170480.27032660792,0.3565986132115432,0.018
35,7,167.0942237393144,113.76863864641976,1030.4650654492295,-170327.07278208388,0.2534208073039152,0.015654348994634217
36,8,204.15374612617998,59.94467594509624,-1142.2637516058467,-167266.17533328233,1.344646159932769,0.018
37,8,207.86318520942433,58.46196197195833,-1135.3353995927002,-167475.9869810386,0.3294119367259116,0.015006665618766884
