i,true_cluster_id,HRV_error,parallax_error,we_parallax,we_dist_kpc,we_pmb,we_pml,pml_error,we_HRV,true_ell_radian,we_DM,we_energy,we_Jphi,we_Jz,we_Jr,true_bee_radian,pmb_error
0,0,1.0,0.018,0.4630118190087651,2.159772081284753,3.394428484673048,-22.207798684391978,0.024083189157584593,-52.66136856735509,1.0276023149490356,11.672039614405103,-169054.46245775718,-823.9816048031112,39.25979283577866,401.4508811964536,0.5262395143508911,0.024083189157584593
1,1,1.0,0.016509377282257036,0.5195240656772915,1.924838647650178,-20.931509147983867,13.436374107984204,0.02268039187358416,363.3397904646311,3.983489513397217,11.421971650074202,-150206.72328661004,1087.214096758528,24.52096728294815,681.5490489651829,0.5580899715423584,0.02268039187358416
2,1,1.0,0.017365976653715885,0.22561305590849615,4.432367603786098,-1.7922570530651176,16.579362004326974,0.023486483960745375,-121.16476900195903,3.087252378463745,13.233178859769888,-147570.0696688736,1296.0933615055217,25.086243566271424,619.4543334640969,-0.36391884088516235,0.023486483960745375
3,2,1.0,0.018,0.5553155237963663,1.8007780390571237,-8.143356363656263,26.49366292505644,0.024083189157584593,92.59198947879317,3.390531063079834,11.277300928469469,-172892.4131387636,-11.797338489599936,23.71679901176805,831.1293411763475,0.7074328660964966,0.024083189157584593
4,2,1.0,0.018,0.5110906030102121,1.9566002468255494,12.67389499900051,23.900799985862143,0.024083189157584593,-49.1789180038246,2.3817124366760254,11.45751051987974,-172007.9262806034,3.1166134681761335,77.81918203191235,789.5483103493559,0.7812056541442871,0.024083189157584593
5,2,1.0,0.019843347557536164,0.303279952226197,3.2972835581765203,11.857126670750738,-3.640867945512152,0.026694332623685105,-210.8819565798679,1.672471284866333,12.590781484966612,-171056.14447170522,-15.907895762155135,81.18819709769465,796.2820619156422,0.721527099609375,0.026694332623685105
6,3,1.0,0.021529326747760022,0.28441019134063594,3.5160484063044968,0.8472073595283428,8.334359705034336,0.029092457759488533,146.4758437125837,3.8549160957336426,12.730274227410007,-164528.45699263984,-571.2453180903092,122.96990129458923,567.107526199623,-0.5242847204208374,0.029092457759488533
7,3,1.0,0.018,0.21853193059825876,4.575990324445374,5.937712849437978,3.464623532257845,0.024083189157584593,-91.78166592969848,1.8003584146499634,13.302425487530144,-166019.0070201616,-623.8537123374633,113.35346001762258,512.5187015304846,0.740207850933075,0.024083189157584593
8,3,1.0,0.02629010337017874,0.28711896308110246,3.4828768858347057,6.764150935079754,1.4439856172871801,0.03586759692057879,93.76019240012502,5.609886646270752,12.70969061554754,-165899.20868571702,-821.6426186491487,93.33270617838254,409.509660708335,-0.6276083588600159,0.03586759692057879
9,3,1.0,0.018,0.22385389775169304,4.467199410167236,-3.153045392706302,8.693083251231633,0.024083189157584593,-79.38720387016751,2.6613879203796387,13.25017669632194,-164247.2060503374,-408.52645445159953,179.1497905349504,622.1005232774132,-1.0687607526779175,0.024083189157584593
10,4,1.0,0.01799415379679225,0.2690380823839911,3.716945910180574,7.365335515306109,-18.65002165610357,0.024077686817918675,282.56705581828396,5.931877613067627,12.850931205961512,-169653.07848029412,1065.184256367607,87.70019953271127,181.82516647552924,-0.4450633227825165,0.024077686817918675
11,4,1.0,0.016191395403416707,0.36505858273804426,2.7392863701483545,20.656977594370154,-12.635738815019558,0.022381186864786122,-244.5700708210614,0.7913225889205933,12.188187182945786,-170423.17945251928,1035.1955965090222,94.56320749577174,180.74798342179554,0.8519853949546814,0.022381186864786122
12,4,1.0,0.02302071582830672,0.2535604112134153,3.9438333264033303,12.74877609651735,0.04065410270040162,0.031214410157235147,-313.2283431147295,1.2048051357269287,12.979592762896498,-165300.4915965823,1196.5926063526085,142.40237602755792,131.19086424887752,0.4407334625720978,0.031214410157235147
13,4,1.0,0.018495804180209498,0.30915070882763523,3.2346683072221025,11.03831351822188,-21.66595027767454,0.024961158142884594,-257.7503713435541,0.8843096494674683,12.549148767019487,-166868.10053501345,1087.391338221618,112.7561682820131,198.2273157391923,0.4311979115009308,0.024961158142884594
14,4,1.0,0.018,0.20574239693343394,4.86044692248599,-9.988498761907593,-0.18294120960878069,0.024083189157584593,-294.5390169714123,1.1716636419296265,13.4333810243419,-167900.0061671988,1129.849787371776,118.01292762446977,143.9176693107609,-0.5858056545257568,0.024083189157584593
15,5,1.0,0.016365110057350862,0.22388891782596929,4.46650066341072,-6.713008205977256,-8.961072797646175,0.02270520686391239,116.64891901059089,4.670086860656738,13.24983701415361,-153196.78397073207,-1148.6187082819645,195.6041519594449,402.306323022592,0.8432130217552185,0.02270520686391239
16,5,1.0,0.01645546590176431,0.24349776185792885,4.1068139286777505,-4.864055173048614,5.00609297078089,0.02280085840915847,-23.007637822582353,4.591597557067871,13.067525131532534,-153651.22867769116,-1179.3486627640625,166.6704477087698,394.99832013217207,1.1002452373504639,0.02280085840915847
17,5,1.0,0.01682073089322522,0.3592425868839888,2.7836343365463314,9.330232858010932,1.566703452189175,0.02297337495025597,-175.57616833511753,2.388795852661133,12.223060924717393,-154713.2217884102,-1052.8034089127295,167.2458598427119,448.5986634209427,1.107871651649475,0.02297337495025597
18,5,1.0,0.018187653178897947,0.27547991473481354,3.6300287117579315,1.649287971837132,9.27028981153368,0.02463484660877683,-67.5784761038253,1.9934241771697998,12.799550300536929,-152904.72579863833,-977.0186777300138,220.23776813132892,495.80639377677767,-0.46685177087783813,0.02463484660877683
19,5,1.0,0.01797483466958544,0.22597754978302093,4.425218350053711,0.8965892477934413,7.547474049384577,0.02405950403927197,38.45384332011785,2.415228843688965,13.229673523060628,-154265.24220633364,-1105.4844978326475,163.54084859745495,429.89565441686887,1.1563315391540527,0.02405950403927197
20,5,1.0,0.019556586876664426,0.25190071231187844,3.9698180716611047,1.2082631361833027,6.91841423663322,0.026286532813694703,-152.60497304528468,2.81758975982666,12.993853022122757,-153927.2550523871,-995.6289708822319,177.93556831431343,496.47116837716476,0.7408889532089233,0.026286532813694703
21,6,1.0,0.018,0.2585509483371151,3.8677096581217585,17.902014630610697,3.274735035689409,0.024083189157584593,-235.94026764606375,0.9972202181816101,12.937269324717327,-146980.62444751523,957.6777376952336,128.19600565249718,760.0009753876703,0.7704076766967773,0.024083189157584593
22,6,1.0,0.018,0.30533044272429694,3.275140176254767,-17.51824690980534,-7.230004503243952,0.024083189157584593,270.018831872843,5.707117080688477,12.576149462816312,-153595.9896686839,702.3756383918624,109.26131720885125,752.1912938083782,0.6753536462783813,0.024083189157584593
23,6,1.0,0.018,0.22058845755412076,4.533328765647916,-15.121573943596779,2.8376302918238903,0.024083189157584593,213.52512849716047,5.246582984924316,13.282086080324571,-145196.50653653077,1034.1664200105488,168.49049188127947,730.7882078647548,0.7728391885757446,0.024083189157584593
24,6,1.0,0.016590452161168476,0.22994563387139225,4.348854045036125,-1.925261685849757,-15.220226452556552,0.02275668176025176,-342.7206065869624,1.058760643005371,13.191874161229531,-154664.07094607895,780.0210963040303,121.07525206208629,663.9288361832726,-0.4143661558628082,0.02275668176025176
25,6,1.0,0.019629543423639546,0.19129742906680425,5.227461784919145,2.422252754053967,-21.207713166082126,0.026390281037006465,-174.08327082382522,0.5572336316108704,13.59145433307322,-138740.40546815735,678.670303057907,144.02782250976264,1182.7114736428107,-0.4602998197078705,0.026390281037006465
26,6,1.0,0.015045167129993974,0.24146839565997347,4.141328712052909,-1.2720866066711465,-26.348049254228638,0.021302781475548854,44.724471814449615,0.37606188654899597,13.08569851687432,-153488.108580377,688.8427787064454,156.01209870828686,719.6309766379547,-0.3693388104438782,0.021302781475548854
27,6,1.0,0.021296882302609576,0.26103040092055796,3.8309713982485136,-6.999310749580404,16.973140146810966,0.02876178311923702,-104.26807666837686,3.062485694885254,12.91654454792216,-154226.22865428572,688.8931433797896,113.323411737154,742.5608378119786,-1.1471930742263794,0.02876178311923702
28,7,1.0,0.0175312042107315,0.27832841317481993,3.5928778833366657,11.844965014517154,3.7022263911708344,0.02364198119615646,-43.20911637918992,2.0600595474243164,12.777212282106872,-165282.54466104668,-547.3560924327983,403.26707457299057,353.90030056764493,0.9478235244750977,0.02364198119615646
29,7,1.0,0.020632119906652334,0.22334597193287198,4.4773585632453505,10.334290127814812,-2.95594432612274,0.02781617457959674,-57.68095157174383,5.201177597045898,13.255109378331461,-163410.47006552792,-390.75602905284575,582.9742923849499,363.5650905709865,-1.1496505737304688,0.02781617457959674
30,7,1.0,0.017613051434083943,0.2534430873555955,3.9456590054750293,11.359924835967632,6.915980694027222,0.024026419980005168,-17.793537334777078,3.9999117851257324,12.98059774816978,-162234.05825427812,-255.7212716236106,749.4214983548625,376.7122923807597,-1.0948433876037598,0.024026419980005168
31,7,1.0,0.017534978014270074,0.27827083386828344,3.5936213152447714,6.588762613171352,-8.590488022388888,0.023645532801966563,206.24474331392088,6.1659064292907715,12.777661552840216,-163575.6658048385,-382.74736254540244,512.9145227145956,410.3986599755802,-0.8452211618423462,0.023645532801966563
32,7,1.0,0.016559078779450474,0.21620276217386847,4.62528780828345,6.0444123495886375,3.657396001570891,0.022727159899132026,183.00295138562805,4.239794731140137,13.325693809332456,-163123.65320088217,-337.797035759232,565.1465004003622,422.9913386992376,-1.145275354385376,0.022727159899132026
33,7,1.0,0.02725837773873284,0.2327365361912402,4.296703974223873,2.5152943447669425,-8.32042865881445,0.03724437135748767,-214.08502053929973,1.091270923614502,13.165677167779897,-163806.56754276063,-392.8514606676389,469.32216433075666,431.6099478049634,1.0119651556015015,0.03724437135748767
34,7,1.0,0.016330744029292958,0.3938523833817903,2.539022339825797,11.024173239372745,-1.0719532697360052,0.02251230500049413,238.76442591105751,4.43837833404541,12.023332610355983,-164804.6609831122,-323.76932672517023,563.5593582321059,398.4481156873693,-1.077408790588379,0.02251230500049413
35,7,1.0,0.03084618498661018,0.29024547587920635,3.445359473634578,-9.83626172768379,0.11655899514835097,0.04232933155316642,-59.11620487604083,1.236533284187317,12.686172704906616,-171013.85985121055,-744.2425163257424,163.79570136370342,297.3564690297766,-0.5988500118255615,0.04232933155316642
36,8,1.0,0.021881944208527515,0.2248569219769401,4.447272475350141,20.4625140980311,-5.290164383790424,0.029594116138787346,-101.87407604664975,0.9670972228050232,13.240468693023724,-130174.13916247187,684.5123206994381,1488.8313014123578,566.6679691058697,0.5556114912033081,0.029594116138787346
37,8,1.0,0.022978497396818058,0.22886970875519763,4.369298171605639,19.03966005831176,-12.218798833766272,0.03115433490126696,-158.46982510638142,1.420817255973816,13.202058415198547,-124944.08921980261,749.7709928259061,1565.5800466166293,704.5674687680666,0.7871706485748291,0.03115433490126696
38,8,1.0,0.016350840441430408,0.25224976866989934,3.964324745560525,3.5564803833791845,21.00310512507316,0.022531214688616075,129.50075454791858,3.799692392349243,12.99084611684143,-121975.31899914032,787.9718747718348,1683.9237158474104,742.8921782241952,1.1745107173919678,0.022531214688616075
39,8,1.0,0.015075589155412489,0.26869860000710377,3.7216420181331884,7.758602360605844,-22.57659523547577,0.021331400448144317,99.35541116118637,0.7062897682189941,12.853672981767419,-141691.00908442185,431.7588053115164,1416.7802374610396,341.99912099912615,1.0571024417877197,0.021331400448144317
40,8,1.0,0.0162367949376023,0.23475342519256065,4.25978875145158,19.247345555305497,-17.31086608015601,0.02242390458436477,-170.09487978367412,1.1373332738876343,13.146940311999856,-111208.19277085798,765.9498019625601,1781.7021468236671,1315.0001386254075,0.5217979550361633,0.02242390458436477
41,8,1.0,0.02639583562057996,0.21782907643003566,4.5907553591505454,22.95692021887881,-10.954725983196312,0.03601810900174776,69.43622193344282,0.8242076635360718,13.309420749386803,-98147.01514430738,1156.1060178400985,1645.1728114564107,2120.8018568335797,0.8954299688339233,0.03601810900174776
42,8,1.0,0.017512864684887903,0.1952577046619785,5.121436830014753,18.82904095719574,-7.04051425470679,0.023624721510307093,14.336671669521987,0.9213747978210449,13.546959101564074,-120293.87302068903,831.1595426704353,1562.2142912907427,888.4624242466372,0.8202860951423645,0.023624721510307093
43,8,1.0,0.028921907054290645,0.23620441717074891,4.233621081171881,16.97817406213516,-14.414743601762401,0.03960206607386742,-192.03980881898295,1.2154648303985596,13.133559925336812,-135598.63162243084,732.5895081596486,1262.4480701685102,465.4287125286933,0.5935690999031067,0.03960206607386742
44,8,1.0,0.01509915956706562,0.2126411953956144,4.702757610723178,18.523065822394734,-9.626943707640114,0.021365234429211424,-12.833639799251943,1.6256892681121826,13.361762974701888,-124423.44562882393,768.4493975069422,1606.4357577306796,688.5729046410603,1.254449486732483,0.021365234429211424
45,9,1.0,0.018,0.521539342199971,1.9174008921010133,8.256010002408036,21.210425031778666,0.024083189157584593,-76.85258000908765,2.0841078758239746,11.413564625488362,-150735.74439417868,-995.8637216469618,397.77802259582495,400.94185849435064,-0.5942368507385254,0.024083189157584593
46,9,1.0,0.01545490706212191,0.20091584541127092,4.977208233392538,1.6867483839424755,6.195544731890877,0.02174174845280504,-79.92637664613147,1.464674949645996,13.484929054354563,-146433.77059297933,-967.4849747794128,453.39986636133665,511.65347304064386,0.8730041980743408,0.02174174845280504
47,9,1.0,0.015131453996644752,0.19624249922461556,5.095736162916568,3.052547836162216,7.229993269173225,0.021383954732509095,56.099562796526364,2.984938383102417,13.53603466928587,-150792.70814977965,-920.736233767328,456.67617874089206,413.8451026455259,0.5904943346977234,0.021383954732509095
48,9,1.0,0.015118313350908383,0.23201470248939116,4.310071686279127,3.17236753925769,8.431646027479879,0.02137159275174783,97.41391805095444,3.0845232009887695,13.172422467620997,-150745.41773076053,-928.8076664339817,454.21661875515196,409.1546979334414,0.4855685830116272,0.02137159275174783
49,9,1.0,0.018,0.2559818846923872,3.906526437219171,-5.681106735449441,-13.49570981910508,0.024083189157584593,-12.439385951232824,1.239585280418396,12.958953838606897,-151377.26018745598,-1044.056814811153,372.8270251136106,379.015499199069,-0.9551489949226379,0.024083189157584593
