i,true_cluster_id,we_Jr,we_Jz,we_Jphi,we_energy,we_parallax,parallax_error
0,0,594.5993751964538,488.13334754108087,-307.78799865727257,-158243.87746358593,0.22903298707461503,0.015380409730814509
1,1,634.5749980157522,343.77802468215367,939.147492780106,-145548.45785910173,0.2775160301098425,0.018
2,1,527.8616315401125,330.8873078680106,864.6981263008672,-151430.887465225,0.21844687400676563,0.017387136572328876
3,2,564.9630942926801,103.12886193691996,-769.2578009678463,-159806.93580277078,0.23765531338366203,0.01503256859021642
4,2,612.5079936493656,98.36442898537659,-679.5555054553874,-160245.97119971155,0.2620868552911499,0.015991057337474544
5,2,572.0533409175351,117.28672078525778,-763.5265424607168,-159131.20237598097,0.31991525209072813,0.018
6,3,713.0957188209617,422.1170809949284,378.65931025958037,-153265.9900417711,0.19392285080595376,0.017208470580083488
7,3,668.390541355897,258.549523078552,372.7254436871953,-160174.349583666,0.2644070862039734,0.016575464978212183
8,3,499.1116510805154,414.7578901725853,745.8587096597995,-152951.1381653687,0.21636596418896434,0.017163817988171345
9,3,557.4072087011288,491.59460504573434,149.07169056174345,-164127.3310563601,0.251905857891782,0.017229633215123018
10,4,592.1128192896409,486.4590534682277,-466.94411523179997,-154244.29943977232,0.2161755300453442,0.018321056821134888
11,4,492.3957144072249,467.4063934678012,-479.89603047275796,-158531.9642590372,0.2408226432468146,0.016652949533823246
12,4,614.5030661020604,486.7966756346389,-461.499929885353,-153337.42790115447,0.20890509544571195,0.018
13,4,741.5402524591027,584.4584263690416,-402.66007641969753,-147667.5196736216,0.2236405972867269,0.015328019804942875
14,4,761.7515412954227,333.84799273582786,-442.1831350635728,-152202.2988111568,0.21481633381979204,0.018
15,5,99.72183873236455,84.86269361331156,-1383.5672610967786,-163334.38054333598,0.26289482341456116,0.018303941161453494
16,5,60.263105521377746,52.30254383228616,-1687.093298738502,-157407.7475756989,0.36217436944707154,0.017363288825298227
17,5,70.42636146618152,57.43528524005833,-1609.8431627588043,-159010.63619002234,0.31528926221786485,0.01656296383673181
18,5,77.56035727506301,38.53006123749689,-1590.9804050152716,-160112.2898943152,0.393382446947432,0.01637236489975269
19,5,68.50098316155719,52.38790314380618,-1629.8144502063303,-158722.34046459664,0.23099436959595834,0.018
20,5,65.6453125954718,48.46311190938989,-1655.3838519124874,-158274.17491162446,0.538843686442482,0.018
21,6,641.7838241217338,108.70605480367945,230.29129448853985,-171616.43370017305,0.29255868224562454,0.018
22,6,689.4794150662897,83.12019546634714,154.73240468825918,-172685.49261330863,0.22048046650709857,0.015173963953596954
23,6,633.8635002246734,119.89316418910127,196.9247619563532,-172464.61263044807,0.2627708397763922,0.018
24,6,718.2227653972784,85.39836562533557,85.59090568606752,-173015.7204842217,0.22114271742055852,0.018
25,6,653.9045677562493,105.9092615479855,100.28324960243873,-175292.39758784743,0.295558964439175,0.016189839311333314
26,6,682.8472991664639,113.17431606965374,238.5162232962571,-169000.16017763707,0.3349371974214893,0.018
27,6,623.3683161592621,110.76615380540784,260.51538151076994,-171562.0910431122,0.22343427973776656,0.018
28,7,332.9022101521769,594.7225629029705,-732.4864657823844,-154578.21422830466,0.27833725332498216,0.018
29,7,289.5241341966928,633.5714203121211,-745.2326937739138,-154844.61569584787,0.2243857086000225,0.015955330505863726
30,7,354.6706203759793,669.7203193100479,-679.6717923305681,-153053.64893829147,0.1931570985296084,0.016341640158590236
31,7,242.21615859451964,747.8520520028189,-739.4510065495053,-153682.71614333044,0.28051171707152917,0.018
32,7,382.87763268777377,990.0666281336636,-455.9791420378647,-149301.50288484464,0.1714432753435206,0.018824800450118324
33,7,267.6645398840236,663.6867357602071,-824.9943420519598,-152864.3260843673,0.2261359336283476,0.01615673730291006
