i,true_cluster_id,HRV_error,parallax_error,we_parallax,we_dist_kpc,we_pmb,we_pml,pml_error,we_HRV,true_ell_radian,we_DM,we_energy,we_Jphi,we_Jz,we_Jr,true_bee_radian,pmb_error
0,0,1.0,0.015380409730814509,0.22903298707461503,4.366183285529159,9.044578026688853,6.158691470856574,0.02161816416195626,-107.75413526283643,1.3056776523590088,13.200509813786311,-158243.87746358593,-307.78799865727257,488.13334754108087,594.5993751964538,1.184364914894104,0.02161816416195626
1,1,1.0,0.018,0.2775160301098425,3.6033954492797915,12.550657464414407,-2.157135016180747,0.024083189157584593,379.19705992969864,4.467798709869385,12.783559628703305,-145548.45785910173,939.147492780106,343.77802468215367,634.5749980157522,-0.8761922717094421,0.024083189157584593
2,1,1.0,0.017387136572328876,0.21844687400676563,4.577772076376925,13.427117122935284,-11.965219429966087,0.023787220716103393,-186.53451261385237,1.2620985507965088,13.303270828503484,-151430.887465225,864.6981263008672,330.8873078680106,527.8616315401125,1.040712594985962,0.023787220716103393
3,2,1.0,0.01503256859021642,0.23765531338366203,4.207774636982918,-3.4175626303619966,8.637769909858418,0.021290929675914057,4.025317009842705,2.5731983184814453,13.120262357563373,-159806.93580277078,-769.2578009678463,103.12886193691996,564.9630942926801,-0.7604758143424988,0.021290929675914057
4,2,1.0,0.015991057337474544,0.2620868552911499,3.8155290118961105,5.4199427180522735,6.856283734092587,0.022192686980324883,77.3459238788134,4.282691955566406,12.90777380060225,-160245.97119971155,-679.5555054553874,98.36442898537659,612.5079936493656,-0.3942592144012451,0.022192686980324883
5,2,1.0,0.018,0.31991525209072813,3.125827835543144,11.420664546677973,4.594625595183349,0.024083189157584593,-126.84582342425061,2.5318315029144287,12.474825271274687,-159131.20237598097,-763.5265424607168,117.28672078525778,572.0533409175351,1.2707065343856812,0.024083189157584593
6,3,1.0,0.017208470580083488,0.19392285080595376,5.156689868388106,-12.830539042464123,-10.415462308593417,0.02333825697398732,-13.036625754810359,6.050168514251709,13.561855065121787,-153265.9900417711,378.65931025958037,422.1170809949284,713.0957188209617,0.8181090354919434,0.02333825697398732
7,3,1.0,0.016575464978212183,0.2644070862039734,3.782046897292923,-11.098171171747305,-18.112018090006128,0.022927892950603157,-119.8896830412146,6.2400078773498535,12.888634548919054,-160174.349583666,372.7254436871953,258.549523078552,668.390541355897,-0.9216564893722534,0.022927892950603157
8,3,1.0,0.017163817988171345,0.21636596418896434,4.621799014223165,-11.249783657961753,10.60909274229657,0.023296235609187917,-53.83437839359584,2.005261182785034,13.324055278074066,-152951.1381653687,745.8587096597995,414.7578901725853,499.1116510805154,-0.7957051396369934,0.023296235609187917
9,3,1.0,0.017229633215123018,0.251905857891782,3.9697369817799038,-12.451256944169725,-13.098165364380232,0.023358172663583764,75.43688661050862,0.13885481655597687,12.99380866587394,-164127.3310563601,149.07169056174345,491.59460504573434,557.4072087011288,-1.0211859941482544,0.023358172663583764
10,4,1.0,0.018321056821134888,0.2161755300453442,4.625870466422557,8.551042171004378,2.8466240149188677,0.024776110523272766,106.86781155656487,5.358908653259277,13.325967337476145,-154244.29943977232,-466.94411523179997,486.4590534682277,592.1128192896409,-1.1065564155578613,0.024776110523272766
11,4,1.0,0.016652949533823246,0.2408226432468146,4.152433452759335,3.268146880092661,-13.16920226009679,0.023009921804595154,184.58764832594144,5.341965198516846,13.091513405700255,-158531.9642590372,-479.89603047275796,467.4063934678012,492.3957144072249,0.7389723062515259,0.023009921804595154
12,4,1.0,0.018,0.20890509544571195,4.786862655821956,-5.612879821264097,-6.926231431338766,0.024083189157584593,250.0207455746373,0.03580809384584427,13.400254834637293,-153337.42790115447,-461.499929885353,486.7966756346389,614.5030661020604,0.582583487033844,0.024083189157584593
13,4,1.0,0.015328019804942875,0.2236405972867269,4.471460066429318,8.649839471755344,1.6822555417610319,0.02156887651151001,-215.68494304470255,0.5012384653091431,13.252246782612719,-147667.5196736216,-402.66007641969753,584.4584263690416,741.5402524591027,0.8021793961524963,0.02156887651151001
14,4,1.0,0.018,0.21481633381979204,4.655139496230735,4.517147128697616,9.12835851949228,0.024083189157584593,-87.53007546663686,2.9970991611480713,13.339663498053548,-152202.2988111568,-442.1831350635728,333.84799273582786,761.7515412954227,0.41209661960601807,0.024083189157584593
15,5,1.0,0.018303941161453494,0.26289482341456116,3.8038025511939852,2.2887624716589947,-1.6281801683545847,0.024757986244110148,-119.71118525103131,5.966610908508301,12.901089826878323,-163334.38054333598,-1383.5672610967786,84.86269361331156,99.72183873236455,0.4010330140590668,0.024757986244110148
16,5,1.0,0.017363288825298227,0.36217436944707154,2.7611009622980536,-3.5577160823765035,-0.3129550785092402,0.02376197115075204,72.42293639538627,4.1899094581604,12.205411436614018,-157407.7475756989,-1687.093298738502,52.30254383228616,60.263105521377746,0.6695823073387146,0.02376197115075204
17,5,1.0,0.01656296383673181,0.31528926221786485,3.1716906340724034,4.313760935204259,-0.4632848994284331,0.02273081566914762,-50.30577672388631,1.7096171379089355,12.506454098669897,-159010.63619002234,-1609.8431627588043,57.43528524005833,70.42636146618152,0.3823193311691284,0.02273081566914762
18,5,1.0,0.01637236489975269,0.393382446947432,2.5420554672934625,0.5468364647162686,0.36139665246940716,0.022712886850512936,74.30739948350478,0.1852533519268036,12.025925112830041,-160112.2898943152,-1590.9804050152716,38.53006123749689,77.56035727506301,-0.4053404629230499,0.022712886850512936
19,5,1.0,0.018,0.23099436959595834,4.329109846915926,-1.0414224936896568,-1.628363552778449,0.024083189157584593,-42.937560576362216,1.425262212753296,13.181993028747224,-158722.34046459664,-1629.8144502063303,52.38790314380618,68.50098316155719,-0.3915049135684967,0.024083189157584593
