i,true_cluster_id,we_Jr,we_Jz,we_Jphi,we_energy,we_parallax,parallax_error
0,0,441.9131696191441,243.15905464241888,668.7514974881927,-162792.88114152366,0.24750163636481468,0.02411004209783421
1,1,159.93863495972295,217.071387787897,-1889.7572419906653,-143682.72223583065,0.6098918756754583,0.015291309424688856
2,1,206.25823352782513,220.1429876869902,-1730.6417878067257,-145523.87743451924,0.2427701570390034,0.022786225408915756
3,2,34.22334949398209,308.95664360261094,2425.999976038246,-134634.20650683643,0.22516396854485488,0.01676763591962591
4,2,121.8690362778788,335.32928702691635,2627.567416297409,-128707.0086045926,0.24166307580815063,0.018
5,2,186.10874306021466,337.3312307541724,2812.540097772399,-124531.13998965852,0.22898881258709766,0.018
6,3,429.0001789609349,75.44788190589405,-892.7074933898854,-163626.98107897054,0.41607230319986,0.018
7,3,425.68863606603037,77.20519572128632,-999.370905025747,-160554.82180213404,0.4062795126769745,0.018
8,3,459.4241302650762,82.7634771879599,-911.6156052909029,-161352.09597787625,0.33898578370290944,0.016856585126630495
9,3,493.8402934970131,98.20220882088361,-918.5143713754001,-158990.97894356216,0.24843606519558192,0.015627397663017656
10,4,952.5324915737976,88.4910015803649,270.2569961479504,-156138.76023111492,0.7864282520538395,0.018
11,4,1098.2564777213697,64.3640211588376,472.8686620329198,-147678.1007766676,0.18346599169815,0.017265057170573223
12,4,967.0543489322492,113.24454727036053,177.63368289418764,-157074.32382141077,0.2847254122328498,0.018185330796560924
13,4,981.9581590557016,122.12959882395562,169.0120774410618,-156409.11405116247,0.27127571888247887,0.018079115011485333
14,4,1036.9405052460304,44.14136127587155,292.0090373148718,-154499.18135380145,0.2596853611790099,0.016455585839901126
15,5,288.0318477327031,781.8267707193978,-214.40414363756702,-166242.7428378091,0.2577337605683234,0.01636719012086284
16,5,260.0478345871016,650.6449336675048,-317.5808968600292,-168648.36154730286,0.20947582305785603,0.016191311226893296
17,5,338.7595033130311,713.8342491350843,-179.86215583202005,-168238.2722307925,0.31954658053515667,0.019731513470367404
18,5,385.7650899423474,512.4674084521861,-212.27771356180702,-170180.24389308886,0.22744830568099508,0.01665363746400379
19,5,394.87035190808393,682.6605101180327,-87.79971401280417,-169353.78115694528,0.19664196493616312,0.01743181753749605
20,5,389.40497899457154,534.5174513932658,-190.42611449274347,-170099.51417029352,0.23063692636036667,0.018
21,6,1039.0978413142154,83.88254726575491,-351.1291126079864,-151647.12458387512,0.23821265334827826,0.026847151679163003
22,6,974.2708978472123,85.21362291535445,-388.71799304270564,-153075.6910629023,0.2557177269938507,0.018
23,6,982.9168912470868,57.51874816318804,-416.12926980923,-153133.1833781272,0.22348307595415168,0.016415094925519576
24,6,1083.6987637427308,49.65087581377467,-334.9520134085039,-151413.983531623,0.19482345304719953,0.018
