i,true_cluster_id,true_Jr,true_Jz,true_Jphi,true_energy,true_parallax
0,0,454.8062326062842,285.90221642288395,769.9788660674619,-157980.160910821,0.2349591851234436
1,1,150.62240314580873,210.1654263710975,-1887.8032006715473,-144185.24095506122,0.6226630806922913
2,1,198.2297651462834,203.87603173550104,-1745.4820723207179,-145889.1246112104,0.2515938878059387
3,2,80.97812875913735,345.15565767693556,2593.133905390152,-130005.96868837476,0.21692156791687012
4,2,110.93038061033451,336.31833351367385,2566.9839320430538,-129900.12252424782,0.24422010779380798
5,2,115.29639914685065,341.4517114244581,2554.8971230787956,-129907.54232889571,0.24058762192726135
6,3,486.6409031340721,77.87693333138735,-803.5445104645304,-163493.12749644404,0.3893689811229706
7,3,437.81788781457016,76.95602174836647,-979.5355389320445,-160602.0483558333,0.40092387795448303
8,3,436.51984664975475,80.07254605374328,-941.397502831028,-161632.64310802968,0.3482668101787567
9,3,432.47033980022,87.79589996496233,-923.1690740022459,-161996.34838872534,0.2657908499240875
10,4,954.7901825141639,86.48840612066476,258.0506951931311,-156419.99414455742,0.7896813154220581
11,4,1050.4225959151584,55.69223727134565,217.03537462812534,-155163.42649041925,0.20963121950626373
12,4,988.7875174699831,113.85246292319604,190.6782466567092,-155867.00021750107,0.2814815938472748
13,4,946.8232840151973,122.11632212065877,287.23093705820065,-155218.6720232009,0.2605816721916199
14,4,1031.744026515906,42.7152241999233,278.4683965901422,-155073.05080409657,0.2648295760154724
15,5,293.433317448902,664.446900970475,-274.0578231546751,-168055.70560901886,0.2704079747200012
16,5,264.9043044140732,692.5382502026612,-281.86000383331105,-168149.44192082348,0.20449413359165192
17,5,274.24556582156697,654.2077522538594,-317.8312243718792,-168249.20392687785,0.3637443482875824
18,5,371.7790145405078,464.45444819838985,-274.5165152636783,-170595.3352860149,0.23837551474571228
19,5,327.9655971184411,628.7195180264929,-219.34504660144285,-169687.30259378836,0.21735118329524994
20,5,382.71858499338975,528.4209629639201,-210.3856256736689,-170013.89505155516,0.23485873639583588
21,6,1003.933434343745,81.3745285544291,-387.32205079578125,-152277.07928326086,0.2455374151468277
22,6,949.085980758727,84.05006852604049,-416.1326625952388,-153481.37200289036,0.2592755854129791
23,6,975.0578187912469,58.59223679123244,-426.59014698497043,-153151.82170435225,0.22492840886116028
24,6,1009.4997958525684,47.15424879835961,-445.2914232279835,-151905.36008292547,0.2023923397064209
25,6,937.550913060334,79.02419576185474,-497.3725238144907,-152410.59354100103,0.2157290130853653
26,6,1011.6488890497409,57.49338787841569,-445.61469678837193,-151540.4030279203,0.2090865671634674
27,6,1033.023756373441,103.2753749175659,-283.8593799357277,-152607.90217303444,0.23624885082244873
28,7,151.0318713316798,188.4963330037268,1268.9401520288184,-160312.84668220064,0.7317556142807007
29,7,119.83667376211223,218.91519401551028,1311.5894823849958,-159331.962246246,0.27297231554985046
30,7,155.19094292548868,218.41336611632545,1220.389467581207,-160521.42216233304,0.2238597869873047
31,7,99.2770143028761,223.86224459079546,1383.7425603441573,-157981.6625930345,0.28731152415275574
32,7,143.72761001400798,200.06755123062948,1261.8102291788455,-160485.79083046503,0.2100309431552887
33,7,117.55167400678546,220.15103504693704,1320.1330290756687,-159160.96475720714,0.5551349520683289
34,7,145.95736465773896,209.309137125682,1245.8349164778765,-160405.94083010135,0.24189156293869019
35,7,148.69042230232216,209.07685116958862,1237.5275196638997,-160504.45926599644,0.22874288260936737
36,8,77.33326190217963,340.302490974779,-1624.1672180373398,-149089.56593516914,0.212257519364357
37,8,51.85037845034086,340.20733241167625,-1726.5764241784855,-147563.26923721898,0.2973841726779938
38,8,40.60168872190668,368.379818426675,-1767.6148913187733,-146268.47980302793,0.24586935341358185
39,8,32.04595477103536,368.82126959454496,-1777.4795924512039,-146304.2374304955,0.3574046492576599
40,8,52.531966393995326,348.68883377908907,-1711.848803262171,-147650.8429291802,0.21574820578098297
41,8,68.98583841537473,329.8866104550875,-1649.9478704585158,-149027.87481866052,0.3075816035270691
42,8,73.16777023461503,352.5896729006946,-1618.9033343238862,-149004.3817035882,0.24117662012577057
43,8,39.744239874683174,361.53749144834177,-1774.6220244614453,-146299.45553932711,0.8558391332626343
44,8,49.491645772341,347.0657513712155,-1719.4832974002845,-147619.63946057422,0.2264239341020584
45,9,767.7590583115777,159.146749935133,695.0663154622572,-151423.6108167379,0.45002174377441406
46,9,713.4946699299419,252.71267555850054,683.6343037265251,-151076.87661195136,0.20799779891967773
47,9,727.9510192124764,186.9933659015489,659.228230769324,-152601.78188124124,0.26304489374160767
48,9,682.40251194082,206.51220059770273,727.8214503070776,-152379.21510345174,0.2919138967990875
49,9,755.7631248154142,169.45196860599228,641.7032442559869,-152975.3810899885,0.2356587052345276
50,9,752.0812868619037,203.29476015752275,663.0638434945357,-151504.65573007,0.20893429219722748
51,9,723.1966529451707,205.55188782983504,663.1466292045662,-152555.3291137973,0.20008593797683716
52,9,751.9825461512514,202.82729216574913,687.0595480455305,-150933.62407845637,0.2076592743396759
53,9,749.1547991001814,199.27069373207306,663.6696465486093,-151571.3507780251,0.2031909078359604
54,9,720.5444268565983,227.99844065119788,673.0794364401663,-151632.45238167813,0.20194439589977264
55,10,596.758197164116,136.1338688535451,-737.5943783827788,-157845.83437845748,0.6088878512382507
56,11,868.5262457285837,21.22065107048331,-244.10186235738996,-164326.7738070614,0.292104035615921
57,11,878.4584831169096,51.73825753875414,-202.58276747383843,-163202.67467493605,0.27062463760375977
58,12,788.9498283391073,6.532561446358107,366.30954254479747,-165687.78977963288,2.1946732997894287
59,12,776.5671348068777,24.097686221492378,378.5781875434404,-164798.76706584514,0.7975019216537476
60,12,765.8668990706739,6.6465948864415765,413.0374219917238,-165482.53220198996,1.0651400089263916
61,13,487.725172025129,631.67255803895,838.2201242435731,-145499.76410271114,0.3684738874435425
62,13,476.72879964108324,645.7302766236883,851.4576701897895,-145465.25290597888,0.22748830914497375
63,13,507.11508297556765,710.0811404875271,730.3933162518042,-145519.20316346182,0.2891422510147095
64,13,469.9182048516575,736.2333305165689,790.2911666178297,-144910.3087229007,0.296638548374176
65,14,1049.8358686517577,1159.35995676095,-269.10786443571845,-129558.02307233686,0.20779338479042053
66,14,1027.5776611026945,1157.6280356389573,-163.61781958553914,-131931.6322624646,0.42940640449523926
