i,true_cluster_id,we_Jr,we_Jz,we_Jphi,we_energy,we_parallax,parallax_error
0,0,535.1694226463002,228.19531306031817,369.62915435742667,-167947.06923885638,0.4056921838911617,0.018
1,1,730.4900064906468,275.0150921427733,364.99761373932296,-157216.81536101882,0.27856401657652025,0.01812191966998246
2,1,683.3376998821336,261.44225915562845,320.9882601404419,-160821.09479923846,0.3960683671662593,0.018
3,2,320.89121831621617,111.62486649100602,-985.6406907834007,-164186.1572055146,0.3218296748437521,0.016583282048175916
4,2,392.75467858009483,101.0698143311728,-843.2649290939482,-165546.1056110466,0.4796058860488357,0.017041425026418294
5,2,380.8555032511692,100.75059829250145,-848.2213461607496,-166145.69041953096,0.3287739561989066,0.016110851145040614
6,3,1052.3697835679802,151.30582077850895,25.57657007078074,-155601.73762155234,0.2972269843701947,0.015610034279220395
7,3,1534.2864693887054,120.7946043752978,44.39846772400938,-139665.5343592123,0.2218529535564571,0.018
8,3,1216.6188962080457,159.0724624838457,285.47272882841605,-143871.51362243667,0.19923278958056712,0.01674401467896309
9,3,1177.7950873485454,146.01523269035476,85.3640230990651,-149718.2815439067,0.2294225117105225,0.015816807452173804
10,4,724.9873821698862,327.4678356981744,274.33248467774683,-158158.30231587222,0.33533555592050346,0.015365391119575677
11,4,797.496022380244,296.96310634414584,447.8813908800371,-151889.49121513643,0.2080234463883485,0.022393248398504085
12,4,666.5763449979147,344.426987098827,393.93580624913494,-156843.71806717262,0.3623133428211995,0.018
13,4,698.7774030726928,402.7256004445004,262.12279510630117,-157289.96726307512,0.5135832568061909,0.018
14,4,652.9850061752439,387.7542108529254,355.63136715134056,-157300.05019943163,0.3990759525936592,0.018
15,5,401.16142069794336,538.3128934567872,707.1269165205493,-154183.61928278612,0.22214518096928035,0.02621713082648077
16,5,351.0306994976429,449.21423870763255,711.6157382512034,-158618.11311640195,0.3244468598608022,0.018
17,5,1434.296996421523,421.8150078450993,762.5988437522703,-125867.79564986794,0.16805950021671776,0.01602238213175871
18,5,340.0975133926951,313.9119289438922,1307.9563290906253,-148181.61365677792,0.1650989335779191,0.028955353735052227
