i,true_cluster_id,true_Jr,true_Jz,true_Jphi,true_energy,true_parallax
0,0,545.524132481388,215.45898241778931,328.0149459356726,-169227.0949390883,0.41459861397743225
1,1,686.8041333410146,226.24376892981155,308.9883126678798,-162256.16797087283,0.2936560809612274
2,1,683.503352367275,229.6721339523117,308.1342817875793,-162293.2451565295,0.40446561574935913
3,2,320.4502072105407,111.69686295176012,-996.8907683570212,-163859.3979484427,0.3159424960613251
4,2,394.31504627133296,101.23973541350462,-840.2154728687383,-165557.21725549005,0.47898319363594055
5,2,397.18634812850325,102.21983523030103,-840.5107883545553,-165521.01024761624,0.3197816014289856
6,3,1118.22475382923,166.1589556665735,127.09283377790142,-150391.75219771112,0.2764173448085785
7,3,1274.0134019883737,102.29268889251348,31.13119304781492,-148738.72185164958,0.23655331134796143
8,3,1193.9673066328317,124.40168941414103,136.63053322557977,-148530.06577677617,0.21429839730262756
9,3,1187.1526159543862,145.9311749121262,85.9486548497007,-149375.46952567162,0.22859437763690948
10,4,721.2857094775679,336.02094325141405,277.2118157010845,-157989.00211894166,0.33505380153656006
11,4,756.1099105500501,247.03720581855748,324.38475365814156,-157981.10482579187,0.22811825573444366
12,4,673.4569866470302,329.76749370028017,368.5152230308048,-157684.50291506416,0.36707231402397156
13,4,707.184273895553,392.07003390097117,235.11213633299758,-157970.27871457423,0.5199466943740845
14,4,656.0221310076386,386.54483408104016,338.0391445276441,-157671.31066585082,0.4025735855102539
15,5,399.4258785977276,539.9494999461997,717.8185457310465,-153928.84532548985,0.22245728969573975
16,5,408.5204471425876,476.3141080643453,779.4635943637477,-153736.43964404194,0.3100050389766693
17,5,431.2888807816291,487.29236129998685,654.96767072084,-155727.79988094044,0.20444664359092712
18,5,420.56832095413745,472.260758053873,766.3770460416889,-153892.96319472024,0.20839793980121613
19,5,414.27531955350463,485.3484274902185,705.7183046776134,-155272.5885590451,0.3032771348953247
20,5,397.24750889328925,503.21243421111524,770.1396393945831,-153764.1845973229,0.21204961836338043
21,6,787.9231415126958,151.65303121181105,257.36673227762003,-161774.60242479402,0.2269275188446045
22,6,740.9203082195199,123.64149507690357,327.9546907191944,-163161.98305618798,0.2172631323337555
23,6,749.8088896303994,154.66090651806945,286.38646812742087,-162550.06542233613,0.2797863185405731
24,6,740.5151524035707,132.71091885539522,321.365882281123,-162832.79982682524,0.23817522823810577
25,6,727.3098939186333,124.27704851410566,373.2242362592747,-162428.0880402415,0.2927910089492798
26,6,771.5357305581276,134.6314867763498,247.81707500685303,-163219.55551029256,0.2905217409133911
27,6,750.0204591024724,151.38678128832854,288.69982468191307,-162557.34307942298,0.28318172693252563
28,7,506.92802746036784,235.04649472128185,362.5801830317482,-168834.61614246134,0.21369995176792145
29,7,469.14017004734745,268.2964062595886,460.6081416138495,-166954.42363699482,0.33644652366638184
30,7,499.5629488188943,240.49861531065866,425.4867031876711,-167372.07079468656,0.20615753531455994
31,7,482.1223020186703,283.4035173988627,425.21926121256183,-166923.25482915307,0.3290652334690094
32,7,542.2480107066011,212.58431351379713,379.09824838710483,-167634.92152212813,0.2625899910926819
33,7,523.1329682788054,226.15939821807135,417.36898524266144,-167133.95000431404,0.3217812478542328
34,7,522.9277060222009,236.5419204256349,374.64719409452476,-167605.2910268647,0.2070664018392563
35,7,551.8322102519945,233.01264642130596,315.8662731951693,-168458.09046037163,0.8849378228187561
36,8,340.2711725680567,466.49064643306775,-579.0107616868473,-162168.68822651883,0.6726787090301514
37,8,337.8362113132684,532.1960587295264,-557.4730259736098,-161012.350532415,0.25395989418029785
38,8,409.8856638320957,493.66460069582104,-452.16381614951524,-162586.0142163329,0.22856475412845612
